"Source","Target"
"DC0063","DC1800"
"DC0063","DC2333"
"DC0064","DC1330"
"DC0064","DC1539"
"DC0065","DC0103"
"DC0067","DC0717"
"DC0067","DC0890"
"DC0068","DC0279"
"DC0069","DC1827"
"DC0070","DC0182"
"DC0070","DC0611"
"DC0070","DC0853"
"DC0070","DC1905"
"DC0071","DC2376"
"DC0071","DC1962"
"DC0072","DC1701"
"DC0073","DC0115"
"DC0073","DC0274"
"DC0073","DC0566"
"DC0073","DC2295"
"DC0074","DC0535"
"DC0074","DC2454"
"DC0075","DC1125"
"DC0075","DC1482"
"DC0075","DC1847"
"DC0075","DC1386"
"DC0076","DC1493"
"DC0076","DC1956"
"DC0077","DC1129"
"DC0078","DC0128"
"DC0078","DC1785"
"DC0079","DC0303"
"DC0079","DC2105"
"DC0080","DC0129"
"DC0080","DC0416"
"DC0081","DC1161"
"DC0082","DC0407"
"DC0083","DC0094"
"DC0083","DC0206"
"DC0083","DC0889"
"DC0083","DC1064"
"DC0084","DC0653"
"DC0084","DC1882"
"DC0085","DC0890"
"DC0085","DC1474"
"DC0086","DC0668"
"DC0086","DC2083"
"DC0087","DC1529"
"DC0087","DC1667"
"DC0088","DC0439"
"DC0088","DC0690"
"DC0088","DC2370"
"DC0089","DC0596"
"DC0089","DC1057"
"DC0090","DC0898"
"DC0091","DC0685"
"DC0091","DC2347"
"DC0091","DC1935"
"DC0092","DC0388"
"DC0092","DC1164"
"DC0092","DC1168"
"DC0093","DC0659"
"DC0094","DC0573"
"DC0096","DC2327"
"DC0097","DC1450"
"DC0097","DC1891"
"DC0098","DC1455"
"DC0098","DC1786"
"DC0098","DC0601"
"DC0099","DC2022"
"DC0100","DC2428"
"DC0101","DC1894"
"DC0102","DC1711"
"DC0102","DC2331"
"DC0102","DC2457"
"DC0102","DC2394"
"DC0103","DC1977"
"DC0104","DC2438"
"DC0104","DC2154"
"DC0105","DC1503"
"DC0106","DC2195"
"DC0106","DC2099"
"DC0106","DC2434"
"DC0107","DC0121"
"DC0107","DC1062"
"DC0107","DC2072"
"DC0108","DC0142"
"DC0108","DC1065"
"DC0109","DC1326"
"DC0109","DC2413"
"DC0110","DC0382"
"DC0110","DC2483"
"DC0111","DC1404"
"DC0112","DC0430"
"DC0113","DC0230"
"DC0113","DC0517"
"DC0113","DC0632"
"DC0113","DC1129"
"DC0114","DC0703"
"DC0115","DC0868"
"DC0115","DC2412"
"DC0116","DC0833"
"DC0116","DC0326"
"DC0117","DC0595"
"DC0117","DC1005"
"DC0117","DC1434"
"DC0117","DC2102"
"DC0118","DC0959"
"DC0118","DC1530"
"DC0118","DC1842"
"DC0119","DC2436"
"DC0120","DC0360"
"DC0120","DC1246"
"DC0120","DC0560"
"DC0121","DC1470"
"DC0122","DC0330"
"DC0122","DC0821"
"DC0122","DC0908"
"DC0122","DC1426"
"DC0123","DC0669"
"DC0123","DC0702"
"DC0123","DC1738"
"DC0123","DC2221"
"DC0125","DC0805"
"DC0125","DC1688"
"DC0125","DC1990"
"DC0126","DC0144"
"DC0126","DC1568"
"DC0127","DC1232"
"DC0127","DC1940"
"DC0129","DC0719"
"DC0130","DC1111"
"DC0131","DC1628"
"DC0131","DC2025"
"DC0132","DC0608"
"DC0133","DC1780"
"DC0133","DC2246"
"DC0134","DC1112"
"DC0134","DC2248"
"DC0135","DC1816"
"DC0135","DC1960"
"DC0136","DC0511"
"DC0136","DC1037"
"DC0136","DC1049"
"DC0137","DC0790"
"DC0137","DC1389"
"DC0138","DC1454"
"DC0139","DC2318"
"DC0139","DC2126"
"DC0139","DC2293"
"DC0140","DC1807"
"DC0141","DC0476"
"DC0141","DC0801"
"DC0142","DC1410"
"DC0143","DC0452"
"DC0143","DC1562"
"DC0143","DC1862"
"DC0144","DC2191"
"DC0145","DC1948"
"DC0146","DC1624"
"DC0146","DC2256"
"DC0147","DC0226"
"DC0148","DC0794"
"DC0149","DC2049"
"DC0150","DC1620"
"DC0150","DC2091"
"DC0150","DC2454"
"DC0151","DC1334"
"DC0151","DC1509"
"DC0151","DC1546"
"DC0151","DC2256"
"DC0152","DC1551"
"DC0153","DC1076"
"DC0153","DC1467"
"DC0154","DC1710"
"DC0154","DC2176"
"DC0155","DC2181"
"DC0156","DC0494"
"DC0157","DC0287"
"DC0158","DC2129"
"DC0159","DC0558"
"DC0159","DC1039"
"DC0160","DC2319"
"DC0160","DC2069"
"DC0162","DC0244"
"DC0162","DC0302"
"DC0162","DC2339"
"DC0163","DC1118"
"DC0163","DC1250"
"DC0164","DC0950"
"DC0165","DC2027"
"DC0166","DC0194"
"DC0166","DC0574"
"DC0167","DC1034"
"DC0167","DC1487"
"DC0167","DC1518"
"DC0167","DC2062"
"DC0168","DC0412"
"DC0168","DC0730"
"DC0169","DC1010"
"DC0170","DC2443"
"DC0171","DC0471"
"DC0171","DC1059"
"DC0171","DC1554"
"DC0172","DC0209"
"DC0172","DC1896"
"DC0172","DC1981"
"DC0173","DC1640"
"DC0173","DC2143"
"DC0174","DC0180"
"DC0174","DC0423"
"DC0175","DC0586"
"DC0175","DC0761"
"DC0176","DC0401"
"DC0176","DC0983"
"DC0176","DC1125"
"DC0177","DC0253"
"DC0177","DC1917"
"DC0178","DC0225"
"DC0178","DC1697"
"DC0179","DC1161"
"DC0179","DC1808"
"DC0180","DC0930"
"DC0181","DC0463"
"DC0181","DC0912"
"DC0182","DC0259"
"DC0182","DC0508"
"DC0183","DC0999"
"DC0183","DC1103"
"DC0183","DC1673"
"DC0183","DC1675"
"DC0184","DC2401"
"DC0184","DC1969"
"DC0185","DC0917"
"DC0185","DC2308"
"DC0185","DC2197"
"DC0185","DC2195"
"DC0186","DC0513"
"DC0186","DC1280"
"DC0187","DC1371"
"DC0187","DC2326"
"DC0187","DC1944"
"DC0188","DC0287"
"DC0188","DC0709"
"DC0189","DC0237"
"DC0189","DC0784"
"DC0189","DC0817"
"DC0190","DC2121"
"DC0190","DC2205"
"DC0191","DC1614"
"DC0192","DC2096"
"DC0193","DC0627"
"DC0193","DC1700"
"DC0194","DC0852"
"DC0194","DC1224"
"DC0195","DC0876"
"DC0195","DC1099"
"DC0195","DC1469"
"DC0195","DC2210"
"DC0196","DC0277"
"DC0196","DC1359"
"DC0197","DC1234"
"DC0197","DC1901"
"DC0198","DC0271"
"DC0198","DC1714"
"DC0198","DC1794"
"DC0199","DC1111"
"DC0200","DC1349"
"DC0201","DC1875"
"DC0201","DC1472"
"DC0202","DC0616"
"DC0203","DC1469"
"DC0204","DC0225"
"DC0204","DC2485"
"DC0205","DC0995"
"DC0205","DC1353"
"DC0206","DC1143"
"DC0206","DC1784"
"DC0207","DC0881"
"DC0208","DC1228"
"DC0209","DC1947"
"DC0210","DC0537"
"DC0211","DC0234"
"DC0211","DC0487"
"DC0211","DC0977"
"DC0212","DC0274"
"DC0212","DC1101"
"DC0213","DC0388"
"DC0214","DC1206"
"DC0215","DC0872"
"DC0216","DC0899"
"DC0216","DC2336"
"DC0217","DC1987"
"DC0218","DC1830"
"DC0218","DC2068"
"DC0220","DC1701"
"DC0221","DC0782"
"DC0221","DC0903"
"DC0221","DC1405"
"DC0222","DC1924"
"DC0223","DC1155"
"DC0223","DC1515"
"DC0224","DC0456"
"DC0226","DC2308"
"DC0227","DC1814"
"DC0228","DC1042"
"DC0228","DC0352"
"DC0228","DC1888"
"DC0229","DC1523"
"DC0229","DC1936"
"DC0230","DC1525"
"DC0231","DC1623"
"DC0232","DC2095"
"DC0233","DC2482"
"DC0234","DC0394"
"DC0236","DC0437"
"DC0236","DC0864"
"DC0237","DC2227"
"DC0237","DC2294"
"DC0238","DC1297"
"DC0238","DC1687"
"DC0239","DC0059"
"DC0240","DC0794"
"DC0241","DC0653"
"DC0241","DC1028"
"DC0241","DC1222"
"DC0241","DC2044"
"DC0242","DC0372"
"DC0242","DC1442"
"DC0242","DC1454"
"DC0243","DC0480"
"DC0244","DC1591"
"DC0245","DC1552"
"DC0245","DC1992"
"DC0246","DC2458"
"DC0246","DC2154"
"DC0247","DC0960"
"DC0247","DC1871"
"DC0248","DC0550"
"DC0248","DC0707"
"DC0249","DC1071"
"DC0249","DC1679"
"DC0250","DC0420"
"DC0251","DC0455"
"DC0251","DC0996"
"DC0252","DC2180"
"DC0253","DC0795"
"DC0254","DC1252"
"DC0254","DC1686"
"DC0255","DC0262"
"DC0255","DC1069"
"DC0256","DC0628"
"DC0256","DC2225"
"DC0257","DC0406"
"DC0257","DC2216"
"DC0258","DC0979"
"DC0259","DC0675"
"DC0259","DC1363"
"DC0260","DC0576"
"DC0261","DC0499"
"DC0263","DC0434"
"DC0263","DC1380"
"DC0264","DC1343"
"DC0264","DC0415"
"DC0264","DC2189"
"DC0265","DC1819"
"DC0266","DC0770"
"DC0266","DC1503"
"DC0267","DC0754"
"DC0268","DC0536"
"DC0268","DC1252"
"DC0268","DC1837"
"DC0268","DC2311"
"DC0268","DC1987"
"DC0268","DC1918"
"DC0269","DC1541"
"DC0269","DC2426"
"DC0270","DC1494"
"DC0271","DC0284"
"DC0271","DC0066"
"DC0272","DC1002"
"DC0272","DC1851"
"DC0273","DC0537"
"DC0273","DC1736"
"DC0274","DC0719"
"DC0274","DC1282"
"DC0275","DC2286"
"DC0275","DC2018"
"DC0276","DC0355"
"DC0276","DC1252"
"DC0277","DC1238"
"DC0277","DC1857"
"DC0278","DC1524"
"DC0279","DC2007"
"DC0281","DC2199"
"DC0283","DC0379"
"DC0283","DC2139"
"DC0284","DC1193"
"DC0284","DC1738"
"DC0286","DC0463"
"DC0286","DC2341"
"DC0287","DC0782"
"DC0288","DC0412"
"DC0288","DC0680"
"DC0289","DC1102"
"DC0289","DC2210"
"DC0290","DC1144"
"DC0291","DC1080"
"DC0291","DC1128"
"DC0292","DC1724"
"DC0292","DC2372"
"DC0292","DC1474"
"DC0292","DC2342"
"DC0293","DC0669"
"DC0293","DC0749"
"DC0293","DC1485"
"DC0293","DC2023"
"DC0295","DC1820"
"DC0295","DC2409"
"DC0296","DC2446"
"DC0296","DC1958"
"DC0297","DC1526"
"DC0297","DC2229"
"DC0298","DC0353"
"DC0298","DC0933"
"DC0298","DC0235"
"DC0299","DC0674"
"DC0299","DC1891"
"DC0300","DC0641"
"DC0300","DC1570"
"DC0301","DC0787"
"DC0301","DC1477"
"DC0301","DC1382"
"DC0302","DC1414"
"DC0303","DC1961"
"DC0304","DC0697"
"DC0305","DC1593"
"DC0305","DC2453"
"DC0306","DC1842"
"DC0307","DC1423"
"DC0307","DC1511"
"DC0307","DC2061"
"DC0309","DC0444"
"DC0309","DC0978"
"DC0310","DC0365"
"DC0311","DC0837"
"DC0311","DC0280"
"DC0312","DC1535"
"DC0313","DC0886"
"DC0313","DC0327"
"DC0314","DC0338"
"DC0314","DC0604"
"DC0314","DC1805"
"DC0315","DC0386"
"DC0315","DC2208"
"DC0316","DC0828"
"DC0316","DC1105"
"DC0316","DC2327"
"DC0317","DC0910"
"DC0317","DC1262"
"DC0318","DC1547"
"DC0318","DC1919"
"DC0319","DC1735"
"DC0319","DC2093"
"DC0320","DC0766"
"DC0320","DC1660"
"DC0321","DC0880"
"DC0321","DC1502"
"DC0322","DC0774"
"DC0322","DC0883"
"DC0322","DC1732"
"DC0323","DC0390"
"DC0323","DC1842"
"DC0328","DC0692"
"DC0328","DC1226"
"DC0329","DC0575"
"DC0330","DC2321"
"DC0331","DC1703"
"DC0332","DC1794"
"DC0332","DC1383"
"DC0333","DC1124"
"DC0333","DC1861"
"DC0334","DC1107"
"DC0334","DC2004"
"DC0335","DC1044"
"DC0335","DC1728"
"DC0336","DC2412"
"DC0336","DC2373"
"DC0337","DC1323"
"DC0337","DC1415"
"DC0337","DC2450"
"DC0338","DC0402"
"DC0338","DC0642"
"DC0338","DC0844"
"DC0338","DC2152"
"DC0339","DC1288"
"DC0339","DC1938"
"DC0340","DC2380"
"DC0341","DC1197"
"DC0341","DC1433"
"DC0342","DC0886"
"DC0342","DC0989"
"DC0342","DC1740"
"DC0343","DC0988"
"DC0343","DC1589"
"DC0343","DC1388"
"DC0343","DC2276"
"DC0344","DC1581"
"DC0345","DC0866"
"DC0345","DC0994"
"DC0345","DC1825"
"DC0346","DC1676"
"DC0346","DC1788"
"DC0347","DC1732"
"DC0348","DC1685"
"DC0349","DC2149"
"DC0350","DC1805"
"DC0351","DC1667"
"DC0353","DC1362"
"DC0354","DC0387"
"DC0354","DC1173"
"DC0354","DC1258"
"DC0354","DC2360"
"DC0355","DC2326"
"DC0356","DC1435"
"DC0356","DC2274"
"DC0357","DC0792"
"DC0358","DC0559"
"DC0358","DC0585"
"DC0358","DC2147"
"DC0359","DC2377"
"DC0360","DC1585"
"DC0361","DC0680"
"DC0361","DC1723"
"DC0362","DC1570"
"DC0362","DC1813"
"DC0362","DC1858"
"DC0362","DC2021"
"DC0363","DC0496"
"DC0363","DC0711"
"DC0363","DC2268"
"DC0363","DC1951"
"DC0364","DC2298"
"DC0365","DC1812"
"DC0366","DC1018"
"DC0367","DC1718"
"DC0367","DC1899"
"DC0368","DC0631"
"DC0368","DC1781"
"DC0368","DC2396"
"DC0369","DC1729"
"DC0369","DC2072"
"DC0369","DC1475"
"DC0370","DC0428"
"DC0370","DC0762"
"DC0370","DC0868"
"DC0371","DC0534"
"DC0371","DC0820"
"DC0371","DC2222"
"DC0373","DC0679"
"DC0373","DC1134"
"DC0374","DC0397"
"DC0375","DC2504"
"DC0376","DC1411"
"DC0378","DC2201"
"DC0378","DC2507"
"DC0379","DC0958"
"DC0380","DC0806"
"DC0381","DC1382"
"DC0381","DC1796"
"DC0382","DC0885"
"DC0382","DC1741"
"DC0383","DC0440"
"DC0383","DC1371"
"DC0383","DC1570"
"DC0384","DC2456"
"DC0385","DC0716"
"DC0385","DC1651"
"DC0386","DC1476"
"DC0387","DC1664"
"DC0388","DC2407"
"DC0389","DC0764"
"DC0389","DC1513"
"DC0390","DC2182"
"DC0391","DC0527"
"DC0391","DC2215"
"DC0391","DC2066"
"DC0392","DC0712"
"DC0392","DC2127"
"DC0393","DC1432"
"DC0395","DC0799"
"DC0395","DC2035"
"DC0396","DC1608"
"DC0397","DC0916"
"DC0398","DC0613"
"DC0398","DC0730"
"DC0398","DC2321"
"DC0400","DC1183"
"DC0402","DC0950"
"DC0403","DC0944"
"DC0403","DC1916"
"DC0404","DC1594"
"DC0406","DC1361"
"DC0407","DC1045"
"DC0407","DC2075"
"DC0407","DC2368"
"DC0408","DC1699"
"DC0408","DC1804"
"DC0408","DC2409"
"DC0409","DC1098"
"DC0410","DC2146"
"DC0411","DC1491"
"DC0411","DC1387"
"DC0412","DC1359"
"DC0412","DC1799"
"DC0416","DC2146"
"DC0417","DC2427"
"DC0418","DC0461"
"DC0418","DC1852"
"DC0419","DC0879"
"DC0419","DC1603"
"DC0419","DC1926"
"DC0420","DC0469"
"DC0420","DC2139"
"DC0421","DC0447"
"DC0422","DC2223"
"DC0423","DC0547"
"DC0423","DC1296"
"DC0424","DC0596"
"DC0424","DC1772"
"DC0425","DC1599"
"DC0426","DC1379"
"DC0427","DC0519"
"DC0427","DC2363"
"DC0428","DC0794"
"DC0428","DC1338"
"DC0429","DC1342"
"DC0430","DC2118"
"DC0431","DC1798"
"DC0431","DC2323"
"DC0432","DC0486"
"DC0432","DC1093"
"DC0433","DC1327"
"DC0433","DC2063"
"DC0434","DC1633"
"DC0435","DC2027"
"DC0436","DC0467"
"DC0437","DC2493"
"DC0438","DC0768"
"DC0438","DC2413"
"DC0438","DC2224"
"DC0439","DC0830"
"DC0439","DC1446"
"DC0439","DC1761"
"DC0439","DC2239"
"DC0440","DC0806"
"DC0440","DC1177"
"DC0441","DC2061"
"DC0441","DC2133"
"DC0442","DC1443"
"DC0443","DC0808"
"DC0443","DC1672"
"DC0443","DC2149"
"DC0445","DC1076"
"DC0445","DC1338"
"DC0445","DC1397"
"DC0445","DC1755"
"DC0446","DC0546"
"DC0447","DC1762"
"DC0448","DC0576"
"DC0448","DC0607"
"DC0449","DC1420"
"DC0450","DC0618"
"DC0450","DC2502"
"DC0451","DC0813"
"DC0452","DC1851"
"DC0453","DC2083"
"DC0453","DC2245"
"DC0454","DC0541"
"DC0454","DC1032"
"DC0455","DC1116"
"DC0455","DC1224"
"DC0456","DC0489"
"DC0457","DC0484"
"DC0457","DC2209"
"DC0458","DC0563"
"DC0458","DC2451"
"DC0459","DC0540"
"DC0459","DC1334"
"DC0460","DC2405"
"DC0461","DC2453"
"DC0462","DC1783"
"DC0464","DC0648"
"DC0464","DC1687"
"DC0465","DC0889"
"DC0465","DC2301"
"DC0466","DC1696"
"DC0468","DC0934"
"DC0469","DC1281"
"DC0470","DC0799"
"DC0470","DC1564"
"DC0472","DC1606"
"DC0473","DC0655"
"DC0473","DC0824"
"DC0474","DC1368"
"DC0475","DC1211"
"DC0477","DC1675"
"DC0477","DC1769"
"DC0478","DC1279"
"DC0479","DC1430"
"DC0480","DC0786"
"DC0480","DC2473"
"DC0480","DC2074"
"DC0481","DC2311"
"DC0481","DC2035"
"DC0482","DC0962"
"DC0482","DC1617"
"DC0483","DC0486"
"DC0484","DC0617"
"DC0485","DC2113"
"DC0486","DC1018"
"DC0487","DC0608"
"DC0488","DC1703"
"DC0489","DC0504"
"DC0489","DC2397"
"DC0490","DC0885"
"DC0491","DC2309"
"DC0492","DC1213"
"DC0492","DC1336"
"DC0492","DC1771"
"DC0493","DC1458"
"DC0495","DC1322"
"DC0496","DC1609"
"DC0497","DC0752"
"DC0497","DC0966"
"DC0497","DC0983"
"DC0498","DC1172"
"DC0498","DC2368"
"DC0499","DC0503"
"DC0500","DC1582"
"DC0501","DC0847"
"DC0502","DC0931"
"DC0502","DC1968"
"DC0503","DC2050"
"DC0503","DC2025"
"DC0504","DC1632"
"DC0504","DC2404"
"DC0505","DC0686"
"DC0505","DC1075"
"DC0506","DC1062"
"DC0506","DC2478"
"DC0506","DC2124"
"DC0507","DC1118"
"DC0507","DC1815"
"DC0507","DC0294"
"DC0507","DC0622"
"DC0509","DC0588"
"DC0510","DC1417"
"DC0510","DC1420"
"DC0512","DC1100"
"DC0513","DC0620"
"DC0513","DC0810"
"DC0513","DC1145"
"DC0513","DC1302"
"DC0513","DC1536"
"DC0514","DC0993"
"DC0514","DC1550"
"DC0514","DC1838"
"DC0514","DC2413"
"DC0514","DC1991"
"DC0515","DC0982"
"DC0515","DC2140"
"DC0516","DC0603"
"DC0516","DC0921"
"DC0517","DC1351"
"DC0518","DC0725"
"DC0518","DC1462"
"DC0520","DC0873"
"DC0520","DC2076"
"DC0521","DC1377"
"DC0521","DC1407"
"DC0522","DC1922"
"DC0523","DC0580"
"DC0524","DC1091"
"DC0524","DC1470"
"DC0525","DC1813"
"DC0525","DC1510"
"DC0526","DC1686"
"DC0527","DC2228"
"DC0527","DC2427"
"DC0529","DC0862"
"DC0529","DC1527"
"DC0530","DC0924"
"DC0530","DC1892"
"DC0531","DC1450"
"DC0531","DC1488"
"DC0531","DC2402"
"DC0532","DC2026"
"DC0533","DC0983"
"DC0533","DC2122"
"DC0533","DC1470"
"DC0533","DC2302"
"DC0534","DC2378"
"DC0535","DC1249"
"DC0536","DC1252"
"DC0537","DC0742"
"DC0537","DC2141"
"DC0538","DC1792"
"DC0539","DC2300"
"DC0539","DC1614"
"DC0541","DC1598"
"DC0542","DC0773"
"DC0542","DC1602"
"DC0543","DC1416"
"DC0544","DC1245"
"DC0544","DC2486"
"DC0545","DC0584"
"DC0545","DC1265"
"DC0546","DC1578"
"DC0546","DC1658"
"DC0547","DC0960"
"DC0548","DC0742"
"DC0549","DC1360"
"DC0549","DC2096"
"DC0549","DC1577"
"DC0551","DC0592"
"DC0551","DC1237"
"DC0551","DC1366"
"DC0552","DC1245"
"DC0554","DC1254"
"DC0554","DC1937"
"DC0555","DC0615"
"DC0556","DC0676"
"DC0556","DC2343"
"DC0557","DC0950"
"DC0559","DC2041"
"DC0561","DC1885"
"DC0561","DC2360"
"DC0562","DC0856"
"DC0562","DC1564"
"DC0563","DC0857"
"DC0564","DC1043"
"DC0565","DC1639"
"DC0566","DC1788"
"DC0566","DC2318"
"DC0566","DC2108"
"DC0566","DC2312"
"DC0567","DC1946"
"DC0568","DC1426"
"DC0568","DC2211"
"DC0569","DC0650"
"DC0570","DC0911"
"DC0570","DC2068"
"DC0571","DC0638"
"DC0571","DC1542"
"DC0572","DC0820"
"DC0572","DC1693"
"DC0572","DC2032"
"DC0573","DC2056"
"DC0574","DC0948"
"DC0575","DC2474"
"DC0577","DC1903"
"DC0578","DC0644"
"DC0578","DC0744"
"DC0579","DC1673"
"DC0581","DC0683"
"DC0582","DC0834"
"DC0582","DC2228"
"DC0582","DC1214"
"DC0583","DC1350"
"DC0583","DC2329"
"DC0584","DC1898"
"DC0585","DC1050"
"DC0585","DC2036"
"DC0586","DC2433"
"DC0587","DC0819"
"DC0587","DC1684"
"DC0588","DC1433"
"DC0588","DC1806"
"DC0589","DC2337"
"DC0589","DC2003"
"DC0590","DC1819"
"DC0591","DC1021"
"DC0591","DC1220"
"DC0592","DC1571"
"DC0593","DC1543"
"DC0593","DC2381"
"DC0594","DC1369"
"DC0595","DC1316"
"DC0596","DC0944"
"DC0596","DC1690"
"DC0597","DC1105"
"DC0597","DC1175"
"DC0598","DC1071"
"DC0599","DC1038"
"DC0599","DC1184"
"DC0600","DC0788"
"DC0600","DC0979"
"DC0602","DC1085"
"DC0602","DC1787"
"DC0602","DC2038"
"DC0604","DC0614"
"DC0604","DC1831"
"DC0604","DC0324"
"DC0605","DC0957"
"DC0606","DC0656"
"DC0606","DC1943"
"DC0608","DC2421"
"DC0609","DC1085"
"DC0609","DC2026"
"DC0610","DC1512"
"DC0610","DC1995"
"DC0611","DC0294"
"DC0612","DC0665"
"DC0612","DC2459"
"DC0613","DC1441"
"DC0615","DC0700"
"DC0615","DC0325"
"DC0616","DC1335"
"DC0617","DC2396"
"DC0618","DC2335"
"DC0619","DC1777"
"DC0619","DC1837"
"DC0620","DC1025"
"DC0620","DC2239"
"DC0621","DC1152"
"DC0623","DC1748"
"DC0624","DC1838"
"DC0624","DC1975"
"DC0624","DC2449"
"DC0625","DC1720"
"DC0625","DC2185"
"DC0626","DC1901"
"DC0627","DC0752"
"DC0628","DC0643"
"DC0628","DC0662"
"DC0629","DC2403"
"DC0630","DC2468"
"DC0631","DC2218"
"DC0632","DC1696"
"DC0633","DC1218"
"DC0633","DC2459"
"DC0634","DC2010"
"DC0634","DC1383"
"DC0635","DC2432"
"DC0636","DC1008"
"DC0636","DC2079"
"DC0637","DC1427"
"DC0637","DC1957"
"DC0638","DC1509"
"DC0638","DC2399"
"DC0640","DC1036"
"DC0640","DC1490"
"DC0641","DC1808"
"DC0641","DC1935"
"DC0642","DC0882"
"DC0643","DC0694"
"DC0644","DC1372"
"DC0645","DC1102"
"DC0645","DC2015"
"DC0645","DC2232"
"DC0646","DC1963"
"DC0647","DC0666"
"DC0647","DC1413"
"DC0648","DC0850"
"DC0649","DC0847"
"DC0650","DC1504"
"DC0651","DC0711"
"DC0651","DC1739"
"DC0651","DC2449"
"DC0652","DC1668"
"DC0652","DC1389"
"DC0654","DC2267"
"DC0656","DC0702"
"DC0656","DC1789"
"DC0656","DC1809"
"DC0656","DC2320"
"DC0657","DC0747"
"DC0658","DC2044"
"DC0660","DC1630"
"DC0660","DC2492"
"DC0661","DC0728"
"DC0662","DC1025"
"DC0663","DC2425"
"DC0664","DC1874"
"DC0665","DC1942"
"DC0667","DC2344"
"DC0668","DC1067"
"DC0668","DC1156"
"DC0669","DC1713"
"DC0670","DC0987"
"DC0671","DC1104"
